cat,east,north,altitud
497,441800.0,762275.0,2875.0
498,441868.75,762293.75,2869.0
499,443925.0,762200.0,2809.0
500,448537.5,762193.75,2644.0
501,436450.0,762231.25,2988.0
502,433537.5,762318.75,2939.0
503,435450.0,762268.75,2984.0
504,435725.0,762218.75,2979.0
505,437693.75,762193.75,2949.0
506,445506.25,762156.25,2758.0
507,447575.0,762231.25,2647.0
508,449187.5,762093.75,2591.0
509,432875.0,762100.0,2911.0
510,447806.25,762137.5,2643.0
511,443387.5,762181.25,2804.0
512,434668.75,762150.0,2955.0
513,436006.25,762056.25,2975.0
514,436400.0,762150.0,2981.0
515,436925.0,762093.75,2986.0
516,443131.25,762043.75,2834.0
517,439568.75,762156.25,2897.0
518,433837.5,762118.75,2927.0
519,443606.25,762131.25,2790.0
520,447856.25,762143.75,2639.0
521,437256.25,762118.75,2974.0
522,437618.75,762131.25,2947.0
523,437956.25,762037.5,2963.0
524,444631.25,762118.75,2722.0
525,448262.5,762043.75,2636.0
526,436681.25,761912.5,2993.0
527,447162.5,762081.25,2692.0
528,444300.0,762081.25,2767.0
529,435337.5,762025.0,2976.0
530,433143.75,762056.25,2910.0
531,445637.5,762018.75,2754.0
532,447800.0,762012.5,2644.0
533,433931.25,762031.25,2918.0
534,446256.25,762000.0,2713.0
535,431206.25,762050.0,2817.0
536,431756.25,761962.5,2820.0
537,433318.75,761993.75,2915.0
538,435237.5,761956.25,2986.0
539,436443.75,762006.25,2983.0
540,442043.75,762000.0,2843.0
541,446206.25,762006.25,2707.0
542,446456.25,761987.5,2712.0
543,448100.0,761981.25,2639.0
544,437825.0,761956.25,2953.0
545,432775.0,761868.75,2921.0
546,434012.5,761956.25,2926.0
547,446250.0,761893.75,2725.0
548,434425.0,761931.25,2927.0
549,438825.0,761881.25,2917.0
550,447962.5,761918.75,2644.0
551,448681.25,761918.75,2592.0
552,447587.5,761856.25,2653.0
553,436431.25,761906.25,2989.0
554,446931.25,761893.75,2686.0
555,437843.75,761825.0,2960.0
556,446800.0,761868.75,2697.0
557,433437.5,761856.25,2898.0
558,440175.0,761818.75,2837.0
559,439668.75,761843.75,2854.0
560,435125.0,761843.75,2982.0
561,447462.5,761818.75,2650.0
562,432268.75,761831.25,2849.0
563,434231.25,761825.0,2939.0
564,438531.25,761843.75,2920.0
565,446862.5,761843.75,2688.0
566,446962.5,761843.75,2684.0
567,432175.0,761793.75,2857.0
568,434000.0,761643.75,2967.0
569,447050.0,761806.25,2678.0
570,435950.0,761750.0,2963.0
571,437168.75,761793.75,2974.0
572,445425.0,761756.25,2725.0
573,447143.75,761781.25,2673.0
574,447318.75,761756.25,2663.0
575,437025.0,761743.75,2985.0
576,432556.25,761718.75,2904.0
577,436850.0,761687.5,3000.0
578,438425.0,761700.0,2935.0
579,440818.75,761725.0,2849.0
580,443606.25,761731.25,2752.0
581,437231.25,761718.75,2970.0
582,437725.0,761656.25,2966.0
583,435212.5,761650.0,2968.0
584,438087.5,761531.25,2953.0
585,440781.25,761681.25,2851.0
587,437556.25,761581.25,2972.0
588,440643.75,761612.5,2869.0
589,440481.25,761643.75,2848.0
590,443800.0,761625.0,2763.0
591,444425.0,761631.25,2709.0
592,443706.25,761550.0,2773.0
593,447387.5,761556.25,2650.0
594,433837.5,761581.25,2948.0
595,436818.75,761575.0,2992.0
597,436475.0,761543.75,2976.0
598,447887.5,761418.75,2649.0
599,448300.0,761437.5,2641.0
600,437200.0,761450.0,2975.0
601,448700.0,761393.75,2649.0
602,437400.0,761506.25,2967.0
603,430450.0,761306.25,2926.0
604,447643.75,761443.75,2638.0
